Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
Acura,Gasoline,6,28,21
Alfa Romeo,Gasoline,6,24,17
Audi,Gasoline,6,27,19
BMW,Gasoline,6,28,19
Buick,Gasoline,6,26,18
Cadillac,Gasoline,6,26,18
Chevrolet,Gasoline,6,24,17
Chrysler,Gasoline,6,29,20
Dodge,Gasoline,6,27,18
Ford,Gasoline,6,23,17
Genesis,Gasoline,6,27,17
GMC,Gasoline,6,23,17
Honda,Gasoline,6,28,19
Hyundai,Gasoline,6,25,18
Infiniti,Gasoline,6,27,20
Jaguar,Gasoline,6,26,18
Jeep,Gasoline,6,27,19
Kia,Gasoline,6,25,18
Land Rover,Gasoline,6,23,17
Lexus,Gasoline,6,28,21
Lincoln,Gasoline,6,24,16
Lotus,Gasoline,6,24,17
Maserati,Gasoline,6,24,16
Mercedes-Benz,Gasoline,6,25,19
Mitsubishi,Gasoline,6,27,20
Nissan,Gasoline,6,26,18
Porsche,Gasoline,6,26,19
Ram,Gasoline,6,24,17
Subaru,Gasoline,6,28,20
Toyota,Gasoline,6,25,20
Volkswagen,Gasoline,6,25,18
